行政区划,电子监管号,地址,地块面积,土地来源,土地用途,出让方式,使用年限,行业,土地等级,成交价格,土地使用权人,容积率上限,签订日期,,,,,,,
北京市本级,1101002007B06364,北京经济技术开发区55号街区,1.8061,0,工业用地,招标出让,50,通讯设备、计算机及其他电子设备制造业,五级,650.1852,京东方科技集团股份有限公司,1,2007/6/29,,,,,,,
北京市本级,,石景山区鲁谷G804#居住用地,1.0468,1.0468,其他普通商品住房用地,招标出让,70,,四级,0,,,2007/6/29,,,,,,,
北京市本级,1101002007B01883,崇文区前门大街A-17地块,0.0741,0.0741,其他商服用地,招标出让,50,皮革、毛皮、羽毛（绒）及其制造业,一级,170.4525,北京天街置业发展有限公司,0,2007/6/25,,,,,,,
北京市本级,1101002007B05330,石景山区鲁谷银河商务区,5.2086,5.2086,公共设施用地,招标出让,50,房地产业,四级,52000,大连万达集团股份有限公司,4,2007/6/20,,,,,,,
北京市本级,,开发区3C1-4地块,0.5274,0,商服用地,招标出让,40,,八级,0,,,2007/6/20,,,,,,,
北京市本级,,石景山区鲁谷银河商务区二期商业金融项目,5.2086,5.2086,其他土地,招标出让,50,,四级,0,,,2007/6/20,,,,,,,
北京市本级,1101002007B05365,朝阳区十里堡晨光家园A1#,1.0508,1.0508,商务金融用地,挂牌出让,40,房地产业,四级,19700,北京润丰宏业房地产开发有限责任公司,3,2007/6/13,,,,,,,
北京市本级,1101002007B05296,丰台区成寿寺世纪风景住宅小区G2,0.7558,0,其他商服用地,挂牌出让,其他商服用地40年; 公共设施用地50,房地产业,三级,23200,北京亚胜置业有限公司,5.6,2007/6/13,,,,,,,
北京市本级,,朝阳区十里堡晨光家园A1#商业金融,1.0508,1.0508,商服用地,挂牌出让,40,,四级,0,,,2007/6/13,,,,,,,
北京市本级,,丰台区成寿寺丰台区成寿寺世纪风景住宅小区G2公建,0.7557,0,其他土地,挂牌出让,50,,三级,0,,,2007/6/13,,,,,,,
北京市本级,1101002007B04423,丰台区花乡造甲村,7.6185,6.2761,中低价位、中小套型普通商品住房用地,招标出让,其他商服用地40年; 中低价位、中小套型普通商品住房用地70年; 公共设施用地50,房地产业,三级,76400,北京鸿基世业房地产开发有限公司,3,2007/6/7,,,,,,,
北京市本级,,丰台区花乡造甲村鸿基花园二期住宅及配套,7.6184,0,其他普通商品住房用地,招标出让,70,,三级,0,,,2007/6/7,,,,,,,
