Date	Year	state_name	Num_Institutions	Total_Assets	Num_Offices	Depoits($000)	HHI
06-30-2002	2002	New York	249	3,144,357,785	4,526	516,010,048	1,094.3217
06-30-2002	2002	North Carolina	132	1,139,023,455	2,480	121,024,012	1,467.3269
06-30-2002	2002	North Dakota	113	198,311,914	412	11,645,852	419.6112
06-30-2002	2002	Northern Mariana Islands	4	19,518,475	11	440,530	3,229.6780
06-30-2002	2002	Ohio	337	701,195,505	3,882	186,713,348	534.7126
06-30-2002	2002	Oklahoma	291	653,851,286	1,191	40,892,933	325.5509
06-30-2002	2002	Oregon	53	1,148,016,190	994	33,478,894	1,096.4474
06-30-2002	2002	Palau	3	10,348,994	3	76,619	4,955.3345
06-30-2002	2002	Pennsylvania	315	981,546,537	4,588	188,304,273	456.9153
06-30-2002	2002	Puerto Rico	14	565,911,855	534	38,939,431	1,576.2999
06-30-2002	2002	Rhode Island	20	244,863,475	225	15,702,601	2,502.2273
06-30-2002	2002	South Carolina	111	1,055,602,810	1,262	42,453,283	831.7270
06-30-2002	2002	South Dakota	103	257,385,542	437	14,604,699	478.4501
06-30-2002	2002	Tennessee	233	1,585,629,832	2,009	77,249,295	592.4414
06-30-2002	2002	Texas	751	2,159,235,252	4,980	256,583,367	480.1692
06-30-2002	2002	Utah	72	1,633,226,068	577	84,225,462	4,523.9280
06-30-2002	2002	Vermont	25	151,392,410	263	8,412,015	1,409.5140
06-30-2002	2002	Virgin Islands Of The U.S.	5	653,156,236	22	1,284,934	3,714.5183
06-30-2002	2002	Virginia	168	1,317,516,636	2,430	117,668,973	679.2393
06-30-2002	2002	Washington	119	1,183,744,079	1,736	70,560,027	973.4255
06-30-2002	2002	West Virginia	92	244,763,732	634	21,993,304	735.4880
06-30-2002	2002	Wisconsin	328	306,481,095	2,171	83,601,639	563.1605
06-30-2002	2002	Wyoming	53	192,977,227	195	8,028,286	835.6957
06-30-2003	2003	Alabama	176	463,227,977	1,431	60,278,951	803.7179
06-30-2003	2003	Alaska	9	78,183,681	129	5,710,390	2,787.9554
06-30-2003	2003	American Samoa	2	9,590,485	5	134,826	5,000.0913
06-30-2003	2003	Arizona	75	1,859,115,006	993	55,965,630	1,645.4457
06-30-2003	2003	Arkansas	185	956,456,289	1,302	37,699,983	273.1801
06-30-2003	2003	California	347	1,989,651,354	6,318	614,726,489	975.2164
06-30-2003	2003	Colorado	205	1,242,708,814	1,345	61,138,571	564.5321
06-30-2003	2003	Connecticut	77	1,471,616,109	1,175	69,985,952	976.0509
06-30-2003	2003	Delaware	42	489,920,829	246	96,807,745	1,673.4183
06-30-2003	2003	District Of Columbia	25	1,269,996,905	193	15,637,306	1,526.3962
06-30-2003	2003	Federated States Of Micronesia	2	787,249	6	119,213	5,365.6671
06-30-2003	2003	Florida	352	2,622,153,158	4,732	268,173,834	815.0378
06-30-2003	2003	Georgia	359	1,911,071,618	2,476	124,882,282	687.1064
06-30-2003	2003	Guam	7	602,645,054	36	1,748,455	2,055.7372
06-30-2003	2003	Hawaii	11	34,024,102	297	21,200,353	2,245.7729
06-30-2003	2003	Idaho	36	1,248,835,157	468	12,576,592	1,113.1914
06-30-2003	2003	Illinois	817	1,900,820,519	4,166	281,785,088	399.7426
06-30-2003	2003	Indiana	228	957,321,101	2,215	80,341,611	397.7155
06-30-2003	2003	Iowa	443	923,147,429	1,519	52,086,782	317.7905
06-30-2003	2003	Kansas	397	983,527,962	1,461	44,900,528	223.1734
06-30-2003	2003	Kentucky	271	1,461,929,547	1,702	56,075,725	297.6370
06-30-2003	2003	Louisiana	178	444,475,336	1,511	52,625,735	929.8645
06-30-2003	2003	Maine	42	306,851,126	507	16,078,660	778.7932
06-30-2003	2003	Marshall Islands	1	703,924	3	30,150	10,000.0000
06-30-2003	2003	Maryland	149	1,334,587,181	1,689	77,851,107	656.3897
06-30-2003	2003	Massachusetts	226	525,872,902	2,090	172,377,658	879.9445
06-30-2003	2003	Michigan	193	713,873,274	2,974	137,103,811	841.1824
06-30-2003	2003	Minnesota	506	598,626,886	1,682	97,383,123	1,734.9063
06-30-2003	2003	Mississippi	113	202,170,621	1,113	32,906,346	609.4303
06-30-2003	2003	Missouri	396	1,035,097,577	2,153	91,631,126	610.4680
06-30-2003	2003	Montana	84	207,033,141	360	11,293,009	573.1539
06-30-2003	2003	Nebraska	286	244,167,887	970	31,547,948	394.6366
06-30-2003	2003	Nevada	54	1,578,338,624	445	31,916,423	1,173.3865
06-30-2003	2003	New Hampshire	43	299,143,184	418	29,649,882	1,916.5835
06-30-2003	2003	New Jersey	176	2,029,131,559	3,102	196,624,009	619.0081
06-30-2003	2003	New Mexico	68	703,466,138	486	16,743,685	911.8936
06-30-2003	2003	New York	243	3,387,078,201	4,651	584,023,285	1,094.9326
06-30-2003	2003	North Carolina	130	1,243,101,063	2,462	146,965,217	1,661.5059
06-30-2003	2003	North Dakota	112	212,849,589	413	10,986,297	374.0959
06-30-2003	2003	Northern Mariana Islands	4	20,240,951	12	504,226	3,227.1462
06-30-2003	2003	Ohio	328	754,038,098	3,915	210,982,111	585.5624
06-30-2003	2003	Oklahoma	287	961,764,963	1,223	44,323,803	355.2738
06-30-2003	2003	Oregon	56	1,392,743,320	999	37,337,135	1,126.1407
06-30-2003	2003	Palau	3	10,307,410	3	82,672	5,457.5368
06-30-2003	2003	Pennsylvania	302	1,067,612,101	4,606	208,048,854	507.3709
06-30-2003	2003	Puerto Rico	13	660,660,739	553	40,263,279	1,562.6919
06-30-2003	2003	Rhode Island	22	266,570,854	230	17,812,856	2,408.6916
06-30-2003	2003	South Carolina	112	1,321,967,917	1,261	44,881,454	785.4488
06-30-2003	2003	South Dakota	100	281,288,894	444	15,715,744	535.1358
06-30-2003	2003	Tennessee	232	1,364,781,505	2,029	86,691,236	653.1865
06-30-2003	2003	Texas	741	2,344,759,456	5,145	293,256,291	497.4758
06-30-2003	2003	Utah	70	955,328,100	574	84,962,630	4,236.6159
06-30-2003	2003	Vermont	24	154,354,029	265	8,796,514	1,391.8787
06-30-2003	2003	Virgin Islands Of The U.S.	4	34,875,474	23	1,342,688	4,201.9324
06-30-2003	2003	Virginia	172	1,492,688,950	2,429	129,718,829	678.8118
06-30-2003	2003	Washington	123	1,461,376,496	1,784	81,522,394	1,009.5363
06-30-2003	2003	West Virginia	92	277,692,744	642	22,344,937	670.9747
06-30-2003	2003	Wisconsin	319	579,159,199	2,200	95,909,221	664.4380
06-30-2003	2003	Wyoming	51	204,246,569	204	7,793,056	644.3588
06-30-2004	2004	Alabama	178	502,057,890	1,446	62,638,358	807.1167
06-30-2004	2004	Alaska	9	456,210,607	129	5,951,594	2,785.8410
06-30-2004	2004	American Samoa	2	9,901,116	5	142,291	5,017.0414
06-30-2004	2004	Arizona	78	1,955,701,151	1,071	61,809,807	1,610.3876
06-30-2004	2004	Arkansas	179	1,129,832,290	1,341	38,682,129	304.9646
06-30-2004	2004	California	329	2,298,080,288	6,423	671,110,640	947.5684
06-30-2004	2004	Colorado	206	1,182,654,841	1,418	64,469,655	570.2208
